title,heading,tokens
Inclusion of Women and People from Racial and Ethnic Minority Groups in Clinical Trials,"The NIH Revitalization of Act of 1993 was signed into law, authorizing NIH to continue its mission and importantly establishing guidelines for the inclusion of women and persons from racial and ethnic minority populations in clinical research. The goal of this law, and other guidelines, is for clinical trial participants to adequately reflect the diversity of the real-world population, so that researchers can determine whether the variables being studied affect women or members of any racial and ethnic population group. This helps ensure that research findings are generalizable to the entire population. NIH efforts toward research inclusion remain at the forefront of clinical research policy. Recent activities include the publicly available NIH Research, Conditions and Disease Categorization Inclusion Statistics Report, which provides data on human research participation in NIH clinical research studies by race, ethnicity, and sex/gender. Additionally, in 2017, NIH updated its policy on the inclusion of women and people from racial and ethnic minority populations with a requirement that ""recipients conducting applicable NIH-defined Phase III clinical trials ensure results of valid analyses by sex/gender, race, and/or ethnicity are submitted to Clinicaltrials.gov."" See NIH Inclusion Outreach Toolkit: How to Engage, Recruit, and Retain Women in Clinical Research for more information.",266
Inclusion of Sexual and Gender Minority Populations,"Until recently, health care systems and epidemiological surveys often didn’t ask sexual orientation and gender identity questions to consider inclusion of sexual and gender minority (SGM) persons. This has made it difficult to know if individuals within SGM populations are represented in clinical research studies in significant numbers to make results representative for them. This lack of knowledge can influence patient-clinician communication and can result in fewer health screening or treatment opportunities.",94
Inclusion by Socioeconomic Status (SES),"An individual’s SES is a major predictor of health outcomes, because it can impact access to health care, nutritious foods, prescription medications, and other resources for healthy living. Yet, SES measures (i.e., education and income level) are not collected routinely and reported in clinical trials. In an analysis of all randomized clinical trials published in 2015 and 2019 in the Journal of the American Medical Association, The Lancet, and the New England Journal of Medicine, study investigators reported that less than 15% of studies reported on the SES  of trial participants. Lack of data collection and reporting on SES measures make it difficult to generalize research findings to all SES groups or to tailor interventions (e.g., new medications or other treatment interventions) to people with lower SES who may not be able to access or maximize the benefits of clinical trial outcomes. In addition, limited access to socioeconomic resources may pose a barrier to participation in clinical trials. To ensure the inclusion and representation of participants across different SES levels in clinical trials, researchers should use appropriate data collection and reporting protocols. For example, NIMHD supported a social determinants of health collection in the PhenX Toolkit  that includes established instruments for conducting research with human participants, such as clinical trials. Researchers should also design their studies and provide resources to make it easier for people with lower SES to participate in clinical trials, such as offering convenient locations and hours of operation, childcare services, and transportation vouchers.",302
Data Collection and Reporting: Unmasking Hidden Truths,"When scientists combine information from individual research participants, this is called data aggregation. Data aggregation is an important part of the research process that protects the anonymity of research volunteers and strengthens the statistical analysis of the study. However, aggregation of demographic data, including race and ethnicity, can also mask important differences in health risks or outcomes for specific subpopulations. For example, many prior studies on the health of Asian Americans have not always examined differences by nationality. A recent study found that among Filipino, Vietnamese, Chinese, Japanese, and Korean American adults living in California, categorizing all participants as ”Asian American” masked at least one health disparity  for each subpopulation. Clinicians and researchers must take care to define as best as possible the clinical trial sample in their studies and consider whether their findings can be generalized across population groups, including consideration for differences in lived experiences.",183
Minority health research vs health disaprities research,"Minority health research focuses on understanding and improving the health of people from specific racial or ethnic minority groups. The central core of health disparities research involves identifying how race, ethnicity, and socioeconomic status interact with health determinants, such as social determinants, individual behaviors, the physical and cultural environment, and biological systems, to lead to differential clinical and population health outcomes.",82
Minority Health Definition,Distinctive health characteristics and attributes of racial and/or ethnic minority populations who are socially disadvantaged due in part to being subject to racist or discriminatory acts and are underserved in health care.,41
Health Disparity Definition,"A health disparity is a health difference that adversely affects disadvantaged populations in comparison to a reference population, based on one or more health outcomes. All populations with health disparities are socially disadvantaged due in part to being subject to racist or discriminatory acts and are underserved in health care.",58
Minority Health Research,"The scientific investigation of singular and combinations of attributes, characteristics, behaviors, biology, and societal and environmental factors that influence the health of minority racial and/or ethnic population(s), including within-group or ethnic sub-populations, with the goals of improving health and preventing disease.",57
Health Disparity Research,A multi-disciplinary field of study devoted to: Gaining greater scientific knowledge about the influence of health determinants. Understanding the role of mechanisms. Determining how this knowledge is translated into interventions to reduce or eliminate adverse health outcomes.,50
Minority Health Populations,Racial and ethnic minority populations are: American Indian or Alaska Native Asian Black or African American Hispanic or Latino American Native Hawaiian and Pacific Islander,33
Populations with Health Disparities,Populations that experience health disparities include: Racial and ethnic minority groups People with lower socioeconomic status (SES) Underserved rural communities Sexual and gender minority (SGM) groups People with disabilities,46
Health Disparity Outcomes,"The health outcomes are categorized as: Higher incidence and/or prevalence of disease, including earlier onset or more aggressive progression of disease. Premature or excessive mortality from specific health conditions. Greater global burden of disease, such as Disability Adjusted Life Years (DALY), as measured by population health metrics. Poorer health behaviors and clinical outcomes related to the aforementioned. Worse outcomes on validated self-reported measures that reflect daily functioning or symptoms from specific conditions.",93
What Is a Clinical Study?,A clinical study involves research using human volunteers (also called participants) that is intended to add to medical knowledge. There are two main types of clinical studies: clinical trials (also called interventional studies) and observational studies. ClinicalTrials.gov includes both interventional and observational studies.,62
Clinical Trials,"In a clinical trial, participants receive specific interventions according to the research plan or protocol created by the investigators. These interventions may be medical products, such as drugs or devices; procedures; or changes to participants' behavior, such as diet. Clinical trials may compare a new medical approach to a standard one that is already available, to a placebo that contains no active ingredients, or to no intervention. Some clinical trials compare interventions that are already available to each other. When a new product or approach is being studied, it is not usually known whether it will be helpful, harmful, or no different than available alternatives (including no intervention). The investigators try to determine the safety and efficacy of the intervention by measuring certain outcomes in the participants. For example, investigators may give a drug or treatment to participants who have high blood pressure to see whether their blood pressure decreases. Clinical trials used in drug development are sometimes described by phase. These phases are defined by the Food and Drug Administration (FDA). Some people who are not eligible to participate in a clinical trial may be able to get experimental drugs or devices outside of a clinical trial through expanded access.",227
Observational Studies,"In an observational study, investigators assess health outcomes in groups of participants according to a research plan or protocol. Participants may receive interventions (which can include medical products such as drugs or devices) or procedures as part of their routine medical care, but participants are not assigned to specific interventions by the investigator (as in a clinical trial). For example, investigators may observe a group of older adults to learn more about the effects of different lifestyles on cardiac health.",92
Who Conducts Clinical Studies?,"Every clinical study is led by a principal investigator, who is often a medical doctor. Clinical studies also have a research team that may include doctors, nurses, social workers, and other health care professionals. Clinical studies can be sponsored, or funded, by pharmaceutical companies, academic medical centers, voluntary groups, and other organizations, in addition to Federal agencies such as the National Institutes of Health, the U.S. Department of Defense, and the U.S. Department of Veterans Affairs. Doctors, other health care providers, and other individuals can also sponsor clinical research.",117
Where Are Clinical Studies Conducted?,"Clinical studies can take place in many locations, including hospitals, universities, doctors' offices, and community clinics. The location depends on who is conducting the study.",39
How Long Do Clinical Studies Last?,"The length of a clinical study varies, depending on what is being studied. Participants are told how long the study will last before they enroll.",35
Reasons for Conducting Clinical Studies,"In general, clinical studies are designed to add to medical knowledge related to the treatment, diagnosis, and prevention of diseases or conditions. Some common reasons for conducting clinical studies include: Evaluating one or more interventions (for example, drugs, medical devices, approaches to surgery or radiation therapy) for treating a disease, syndrome, or condition Finding ways to prevent the initial development or recurrence of a disease or condition. These can include medicines, vaccines, or lifestyle changes, among other approaches. Evaluating one or more interventions aimed at identifying or diagnosing a particular disease or condition Examining methods for identifying a condition or the risk factors for that condition Exploring and measuring ways to improve the comfort and quality of life through supportive care for people with a chronic illness",156
Participating in Clinical Studies,"A clinical study is conducted according to a research plan known as the protocol. The protocol is designed to answer specific research questions and safeguard the health of participants. It contains the following information: The reason for conducting the study Who may participate in the study (the eligibility criteria) The number of participants needed The schedule of tests, procedures, or drugs and their dosages The length of the study What information will be gathered about the participants",91
Who Can Participate in a Clinical Study?,"Clinical studies have standards outlining who can participate. These standards are called eligibility criteria and are listed in the protocol. Some research studies seek participants who have the illnesses or conditions that will be studied, other studies are looking for healthy participants, and some studies are limited to a predetermined group of people who are asked by researchers to enroll. Eligibility. The factors that allow someone to participate in a clinical study are called inclusion criteria, and the factors that disqualify someone from participating are called exclusion criteria. They are based on characteristics such as age, gender, the type and stage of a disease, previous treatment history, and other medical conditions.",136
How Are Participants Protected?,"Informed consent is a process used by researchers to provide potential and enrolled participants with information about a clinical study. This information helps people decide whether they want to enroll or continue to participate in the study. The informed consent process is intended to protect participants and should provide enough information for a person to understand the risks of, potential benefits of, and alternatives to the study. In addition to the informed consent document, the process may involve recruitment materials, verbal instructions, question-and-answer sessions, and activities to measure participant understanding. In general, a person must sign an informed consent document before joining a study to show that he or she was given information on the risks, potential benefits, and alternatives and that he or she understands it. Signing the document and providing consent is not a contract. Participants may withdraw from a study at any time, even if the study is not over. Institutional review boards. Each federally supported or conducted clinical study and each study of a drug, biological product, or medical device regulated by FDA must be reviewed, approved, and monitored by an institutional review board (IRB). An IRB is made up of doctors, researchers, and members of the community. Its role is to make sure that the study is ethical and that the rights and welfare of participants are protected. This includes making sure that research risks are minimized and are reasonable in relation to any potential benefits, among other responsibilities. The IRB also reviews the informed consent document. In addition to being monitored by an IRB, some clinical studies are also monitored by data monitoring committees (also called data safety and monitoring boards). Various Federal agencies, including the Office of Human Subjects Research Protection and FDA, have the authority to determine whether sponsors of certain clinical studies are adequately protecting research participants.",355
Relationship to Usual Health Care,"Typically, participants continue to see their usual health care providers while enrolled in a clinical study. While most clinical studies provide participants with medical products or interventions related to the illness or condition being studied, they do not provide extended or complete health care. By having his or her usual health care provider work with the research team, a participant can make sure that the study protocol will not conflict with other medications or treatments that he or she receives.",92
Considerations for Participation,"Participating in a clinical study contributes to medical knowledge. The results of these studies can make a difference in the care of future patients by providing information about the benefits and risks of therapeutic, preventative, or diagnostic products or interventions. Clinical trials provide the basis for the development and marketing of new drugs, biological products, and medical devices. Sometimes, the safety and the effectiveness of the experimental approach or use may not be fully known at the time of the trial. Some trials may provide participants with the prospect of receiving direct medical benefits, while others do not. Most trials involve some risk of harm or injury to the participant, although it may not be greater than the risks related to routine medical care or disease progression. (For trials approved by IRBs, the IRB has decided that the risks of participation have been minimized and are reasonable in relation to anticipated benefits.) Many trials require participants to undergo additional procedures, tests, and assessments based on the study protocol. These requirements will be described in the informed consent document. A potential participant should also discuss these issues with members of the research team and with his or her usual health care provider.",229
Questions to Ask,"Anyone interested in participating in a clinical study should know as much as possible about the study and feel comfortable asking the research team questions about the study, the related procedures, and any expenses. The following questions may be helpful during such a discussion. Answers to some of these questions are provided in the informed consent document. Many of the questions are specific to clinical trials, but some also apply to observational studies. What is being studied? Why do researchers believe the intervention being tested might be effective? Why might it not be effective? Has it been tested before? What are the possible interventions that I might receive during the trial? How will it be determined which interventions I receive (for example, by chance)? Who will know which intervention I receive during the trial? Will I know? Will members of the research team know? How do the possible risks, side effects, and benefits of this trial compare with those of my current treatment? What will I have to do? What tests and procedures are involved? How often will I have to visit the hospital or clinic? Will hospitalization be required? How long will the study last? Who will pay for my participation? Will I be reimbursed for other expenses? What type of long-term follow-up care is part of this trial? If I benefit from the intervention, will I be allowed to continue receiving it after the trial ends? Will results of the study be provided to me? Who will oversee my medical care while I am participating in the trial? What are my options if I am injured during the study?",312
Accepts healthy volunteers,A type of eligibility criteria that indicates whether people who do not have the condition/disease being studied can participate in that clinical study.,30
Active comparator arm,An arm type in which a group of participants receives an intervention/treatment considered to be effective (or active) by health care providers.,30
Adverse event,"An unfavorable change in the health of a participant, including abnormal laboratory findings, that happens during a clinical study or within a certain amount of time after the study has ended. This change may or may not be caused by the intervention/treatment being studied.",53
Age or age group,A type of eligibility criteria that indicates the age a person must be to participate in a clinical study. This may be indicated by a specific age or the following age groups: The age groups are: Child (birth-17) Adult (18-64) Older Adult (65+),60
All-cause mortality,"A measure of all deaths, due to any cause, that occur during a clinical study.",22
Allocation,A method used to assign participants to an arm of a clinical study. The types of allocation are randomized allocation and nonrandomized.,27
Arm,"A group or subgroup of participants in a clinical trial that receives a specific intervention/treatment, or no intervention, according to the trial's protocol.",30
Arm type,"A general description of the clinical trial arm. It identifies the role of the intervention that participants receive. Types of arms include experimental arm, active comparator arm, placebo comparator arm, sham comparator arm, and no intervention arm.",46
Baseline characteristics,"Data collected at the beginning of a clinical study for all participants and for each arm or comparison group. These data include demographics, such as age, sex/gender, race and ethnicity, and study-specific measures (for example, systolic blood pressure, prior antidepressant treatment).",57
Canceled submission,"Indicates that the study sponsor or investigator recalled a submission of study results before quality control (QC) review took place. If the submission was canceled on or after May 8, 2018, the date is shown. After submission of study results, a study record cannot be modified until QC review is completed, unless the submission is canceled.",70
Certain agreements,"Information required by the Food and Drug Administration Amendments Act of 2007. In general, this is a description of any agreement between the sponsor of a clinical study and the principal investigator (PI) that does not allow the PI to discuss the results of the study or publish the study results in a scientific or academic journal after the study is completed.",71
Certification,"A sponsor or investigator may submit a certification to delay submission of results information if they are applying for FDA approval of a new drug or device, or new use of an already approved drug or device. A sponsor or investigator who submits a certification can delay results submission up to 2 years after the certification/extension first submitted date, unless certain events occur sooner. See Delay Results Type in the Results Data Element definitions for more information about this certification.",90
Certification/extension first posted,The date on which information about a certification to delay submission of results or an extension request was first available on ClinicalTrials.gov. ClinicalTrials.gov does not indicate whether the submission was a certification or extension request. There is typically a delay between the date the study sponsor or investigator submitted the certification or extension request and the first posted date.,74
Certification/extension first submitted,"The date on which the study sponsor or investigator first submitted a certification or an extension request to delay submission of results. A sponsor or investigator who submits a certification can delay results submission up to 2 years after this date, unless certain events occur sooner. There is typically a delay between the date the certification or extension request was submitted and the date the information is first available on ClinicalTrials.gov (certification/extension first posted).",92
Certification/extension first submitted that met QC criteria,The date on which the study sponsor or investigator first submitted a certification or an extension request that is consistent with National Library of Medicine (NLM) quality control (QC) review criteria. The sponsor or investigator may need to revise and submit a certification or extension request one or more times before NLM's QC review criteria are met. It is the responsibility of the sponsor or investigator to ensure that the study record is consistent with the NLM QC review criteria. Meeting QC criteria for an extension request does not mean that the National Institutes of Health (NIH) has determined that the request demonstrates good cause. The process for review and granting of extension requests by the NIH is being developed.,146
City and distance,"In the search feature, the City field is used to find clinical studies with locations in a specific city. The Distance field is used to find studies with locations within the specified distance from a city in number of miles. For example, if you choose Illinois as the state, identifying ""Chicago"" as the city and ""100 miles"" as the distance will find all studies listing a location within 100 miles of Chicago.",86
Clinical study,A research study involving human volunteers (also called participants) that is intended to add to medical knowledge. There are two types of clinical studies: interventional studies (also called clinical trials) and observational studies.,43
Clinical trial,A research study involving human volunteers (also called participants) that is intended to add to medical knowledge. There are two types of clinical studies: interventional studies (also called clinical trials) and observational studies.,43
ClinicalTrials.gov identifier (NCT number),"The unique identification code given to each clinical study upon registration at ClinicalTrials.gov. The format is ""NCT"" followed by an 8-digit number (for example, NCT00000419).",51
Collaborator,"An organization other than the sponsor that provides support for a clinical study. This support may include activities related to funding, design, implementation, data analysis, or reporting.",36
Condition/disease,"The disease, disorder, syndrome, illness, or injury that is being studied. On ClinicalTrials.gov, conditions may also include other health-related issues, such as lifespan, quality of life, and health risks.",46
Contact,"The name and contact information for the person who can answer enrollment questions for a clinical study. Each location where the study is being conducted may also have a specific contact, who may be better able to answer those questions.",44
Country,"In the search feature, the Country field is used to find clinical studies with locations in a specific country. For example, if you choose the United States, you can then narrow your search by selecting a state and identifying a city and distance.",49
Cross-over assignment,"A type of intervention model describing a clinical trial in which groups of participants receive two or more interventions in a specific order. For example, two-by-two cross-over assignment involves two groups of participants. One group receives drug A during the initial phase of the trial, followed by drug B during a later phase. The other group receives drug B during the initial phase, followed by drug A. So during the trial, participants ""cross over"" to the other drug. All participants receive drug A and drug B at some point during the trial but in a different order, depending on the group to which they are assigned.",125
Data Monitoring Committee (DMC),"A group of independent scientists who monitor the safety and scientific integrity of a clinical trial. The DMC can recommend to the sponsor that the trial be stopped if it is not effective, is harming participants, or is unlikely to serve its scientific purpose. Members are chosen based on the scientific skills and knowledge needed to monitor the particular trial. Also called a data safety and monitoring board, or DSMB.",86
Early Phase 1 (formerly listed as Phase 0),"A phase of research used to describe exploratory trials conducted before traditional phase 1 trials to investigate how or whether a drug affects the body. They involve very limited human exposure to the drug and have no therapeutic or diagnostic goals (for example, screening studies, microdose studies).",68
Eligibility criteria,"The key requirements that people who want to participate in a clinical study must meet or the characteristics they must have. Eligibility criteria consist of both inclusion criteria (which are required for a person to participate in the study) and exclusion criteria (which prevent a person from participating). Types of eligibility criteria include whether a study accepts healthy volunteers, has age or age group requirements, or is limited by sex.",83
Enrollment,"The number of participants in a clinical study. The ""estimated"" enrollment is the target number of participants that the researchers need for the study.",30
Exclusion criteria,A type of eligibility criteria. These are reasons that a person is not allowed to participate in a clinical study.,25
Expanded access,A way for patients with serious diseases or conditions who cannot participate in a clinical trial to gain access to a medical product that has not been approved by the U.S. Food and Drug Administration (FDA). Also called compassionate use. There are different expanded access types.,54
Expanded access status,"Available: Expanded access is currently available for this investigational treatment, and patients who are not participants in the clinical study may be able to gain access to the drug, biologic, or medical device being studied. No longer available: Expanded access was available for this intervention previously but is not currently available and will not be available in the future. Temporarily not available: Expanded access is not currently available for this intervention but is expected to be available in the future. Approved for marketing: The intervention has been approved by the U.S. Food and Drug Administration for use by the public.",119
Expanded access type,"Describes the category of expanded access under U.S. Food and Drug Administration (FDA) regulations. There are three types of expanded access: Individual Patients: Allows a single patient, with a serious disease or condition who cannot participate in a clinical trial, access to a drug or biological product that has not been approved by the FDA. This category also includes access in an emergency situation. Intermediate-size Population: Allows more than one patient (but generally fewer patients than through a Treatment IND/Protocol) access to a drug or biological product that has not been approved by the FDA. This type of expanded access is used when multiple patients with the same disease or condition seek access to a specific drug or biological product that has not been approved by the FDA. Treatment IND/Protocol: Allows a large, widespread population access to a drug or biological product that has not been approved by the FDA. This type of expanded access can only be provided if the product is already being developed for marketing for the same use as the expanded access use.",206
Experimental arm,An arm type in which a group of participants receives the intervention/treatment that is the focus of the clinical trial.,25
Extension request,"In certain circumstances, a sponsor or investigator may request an extension to delay the standard results submission deadline (generally one year after the primary completion date). The request for an extension must demonstrate good cause (for example, the need to preserve the scientific integrity of an ongoing masked trial). All requests must be reviewed and granted by the National Institutes of Health. This process for review and granting of extension requests is being developed. See Delay Results Type in the Results Data Element definitions for more information.",99
Factorial assignment,"A type of intervention model describing a clinical trial in which groups of participants receive one of several combinations of interventions. For example, two-by-two factorial assignment involves four groups of participants. Each group receives one of the following pairs of interventions: (1) drug A and drug B, (2) drug A and a placebo, (3) a placebo and drug B, or (4) a placebo and a placebo. So during the trial, all possible combinations of the two drugs (A and B) and the placebos are given to different groups of participants.",116
FDAAA 801 Violations,"A FDAAA 801 Violation is shown on a study record when the U.S. Food and Drug Administration (FDA) has issued a Notice of Noncompliance to the responsible party of an applicable clinical trial. A Notice of Noncompliance indicates that the FDA has determined the responsible party was not in compliance with the registration or results reporting requirements for the clinical trial under the Food and Drug Administration Amendments Act of 2007, Section 801 (FDAAA 801). The National Library of Medicine (NLM) is required by FDAAA 801 to add information to a study record about any FDAAA 801 Violation. This information is provided by the FDA. There are three categories of information that may be included: Violation: Shown when the FDA issues a Notice of Noncompliance and posts the Notice of Noncompliance on its designated webpage. There are three types of violations: Failure to submit required clinical trial information Submission of false or misleading clinical trial information Failure to submit primary and secondary outcomes Correction: Shown when the FDA confirms that the responsible party has updated the study record to correct the violation and posts the correction notice on its designated webpage. Because of the time for FDA review and processing, there may be a delay between the date when the study record was updated and the addition of correction information to the FDAAA 801 Violation information. Penalty: Shown when the FDA imposes a penalty for the violation and posts the penalty notice on its designated webpage.",303
First posted,The date on which the study record was first available on ClinicalTrials.gov after National Library of Medicine (NLM) quality control (QC) review has concluded. There is typically a delay of a few days between the date the study sponsor or investigator submitted the study record and the first posted date.,62
First submitted,The date on which the study sponsor or investigator first submitted a study record to ClinicalTrials.gov. There is typically a delay of a few days between the first submitted date and the record's availability on ClinicalTrials.gov (the first posted date).,52
First submitted that met QC criteria,The date on which the study sponsor or investigator first submits a study record that is consistent with National Library of Medicine (NLM) quality control (QC) review criteria. The sponsor or investigator may need to revise and submit a study record one or more times before NLM's QC review criteria are met. It is the responsibility of the sponsor or investigator to ensure that the study record is consistent with the NLM QC review criteria.,92
"Food and Drug Administration Amendments Act of 2007, Section 801 (FDAAA 801)","U.S. Public Law 110-85, which was enacted on September 27, 2007. Section 801 of FDAAA amends Section 402 of the U.S. Public Health Service Act to expand ClinicalTrials.gov and create a clinical study results database.",76
Funder type,"Describes the organization that provides funding or support for a clinical study. This support may include activities related to funding, design, implementation, data analysis, or reporting. Organizations listed as sponsors and collaborators for a study are considered the funders of the study. ClinicalTrials.gov refers to four types of funders: U.S. National Institutes of Health Other U.S. Federal agencies (for example, Food and Drug Administration, Centers for Disease Control and Prevention, or U.S. Department of Veterans Affairs) Industry (for example: pharmaceutical and device companies) All others (including individuals, universities, and community-based organizations)",127
Gender-based eligibility,"A type of eligibility criteria that indicates whether eligibility to participate in a clinical study is based on a person's self-representation of gender identity. Gender identity refers to a person's own sense of gender, which may or may not be the same as their biological sex.",56
Group/cohort,A group or subgroup of participants in an observational study that is assessed for biomedical or health outcomes.,22
Human subjects protection review board,"A group of people who review, approve, and monitor the clinical study's protocol. Their role is to protect the rights and welfare of people participating in a study (referred to as human research subjects), such as reviewing the informed consent form. The group typically includes people with varying backgrounds, including a community member, to make sure that research activities conducted by an organization are completely and adequately reviewed. Also called an institutional review board, or IRB, or an ethics committee.",100
Inclusion criteria,A type of eligibility criteria. These are the reasons that a person is allowed to participate in a clinical study.,25
Informed consent,A process used by researchers to communicate to potential and enrolled participants the risks and potential benefits of participating in a clinical study.,27
Informed consent form (ICF),The document used in the informed consent or process.,18
Intervention model,"The general design of the strategy for assigning interventions to participants in a clinical study. Types of intervention models include: single group assignment, parallel assignment, cross-over assignment, and factorial assignment.",40
Intervention/treatment,"A process or action that is the focus of a clinical study. Interventions include drugs, medical devices, procedures, vaccines, and other products that are either investigational or already available. Interventions can also include noninvasive approaches, such as education or modifying diet and exercise.",62
Interventional study (clinical trial),"A type of clinical study in which participants are assigned to groups that receive one or more intervention/treatment (or no intervention) so that researchers can evaluate the effects of the interventions on biomedical or health-related outcomes. The assignments are determined by the study's protocol. Participants may receive diagnostic, therapeutic, or other types of interventions.",73
Investigator,"A researcher involved in a clinical study. Related terms include site principal investigator, site sub-investigator, study chair, study director, and study principal investigator.",34
Last update posted,The most recent date on which changes to a study record were made available on ClinicalTrials.gov. There may be a delay between when the changes were submitted to ClinicalTrials.gov by the study's sponsor or investigator (the last update submitted date) and the last update posted date.,60
Last update submitted,The most recent date on which the study sponsor or investigator submitted changes to a study record to ClinicalTrials.gov. There is typically a delay of a few days between the last update submitted date and when the date changes are posted on ClinicalTrials.gov (the last update posted date).,60
Last update submitted that met QC criteria,The most recent date on which the study sponsor or investigator submitted changes to a study record that are consistent with National Library of Medicine (NLM) quality control (QC) review criteria. It is the responsibility of the sponsor or investigator to ensure that the study record is consistent with the NLM QC review criteria.,69
Last verified,"The most recent date on which the study sponsor or investigator confirmed the information about a clinical study on ClinicalTrials.gov as accurate and current. If a study with a recruitment status of recruiting; not yet recruiting; or active, not recruiting has not been confirmed within the past 2 years, the study's recruitment status is shown as unknown.",70
Listed location countries,"Countries in which research facilities for a study are located. A country is listed only once, even if there is more than one facility in the country. The list includes all countries as of the last update submitted date; any country for which all facilities were removed from the study record are listed under removed location countries.",66
Location terms,"In the search feature, the Location terms field is used to narrow a search by location-related terms other than Country, State, and City or distance. For example, you may enter a specific facility name (such as National Institutes of Health Clinical Center) or a part of a facility name (such as Veteran for studies listing Veterans Hospital or Veteran Affairs in the facility name). Note: Not all study records include this level of detail about locations.",90
Masking,"A clinical trial design strategy in which one or more parties involved in the trial, such as the investigator or participants, do not know which participants have been assigned which interventions. Types of masking include: open label, single blind masking, and double-blind masking.",53
NCT number,"A unique identification code given to each clinical study record registered on ClinicalTrials.gov. The format is ""NCT"" followed by an 8-digit number (for example, NCT00000419). Also called the ClinicalTrials.gov identifier.",53
No intervention arm,An arm type in which a group of participants does not receive any intervention/treatment during the clinical trial.,24
Observational study,"A type of clinical study in which participants are identified as belonging to study groups and are assessed for biomedical or health outcomes. Participants may receive diagnostic, therapeutic, or other types of interventions, but the investigator does not assign participants to a specific interventions/treatment. A patient registry is a type of observational study.",64
Observational study model,"The general design of the strategy for identifying and following up with participants during an observational study. Types of observational study models include cohort, case-control, case-only, case-cross-over, ecologic or community studies, family-based, and other.",52
Other adverse event,"An adverse event that is not a serious adverse event, meaning that it does not result in death, is not life-threatening, does not require inpatient hospitalization or extend a current hospital stay, does not result in an ongoing or significant incapacity or interfere substantially with normal life functions, and does not cause a congenital anomaly or birth defect; it also does not put the participant in danger and does not require medical or surgical intervention to prevent one of the results listed above.",98
Other study IDs,"Identifiers or ID numbers other than the NCT number that are assigned to a clinical study by the study's sponsor, funders, or others. These numbers may include unique identifiers from other trial registries and National Institutes of Health grant numbers.",52
Other terms,"In the search feature, the Other terms field is used to narrow a search. For example, you may enter the name of a drug or the NCT number of a clinical study to limit the search to study records that contain these words.",50
Outcome measure,"For clinical trials, a planned measurement described in the protocol that is used to determine the effect of an intervention/treatment on participants. For observational studies, a measurement or observation that is used to describe patterns of diseases or traits, or associations with exposures, risk factors, or treatment. Types of outcome measures include primary outcome measure and secondary outcome measure.",71
Parallel assignment,"A type of intervention model describing a clinical trial in which two or more groups of participants receive different interventions. For example, a two-arm parallel assignment involves two groups of participants. One group receives drug A, and the other group receives drug B. So during the trial, participants in one group receive drug A ""in parallel"" to participants in the other group, who receive drug B.",79
Participant flow,"A summary of the progress of participants through each stage of a clinical study, by study arm or group/cohort. This includes the number of participants who started, completed, and dropped out of the study.",43
Patient registry,A type of observational study that collects information about patients' medical conditions and/or treatments to better understand how a condition or treatment affects patients in the real world.,33
Phase,"The stage of a clinical trial studying a drug or biological product, based on definitions developed by the U.S. Food and Drug Administration (FDA). The phase is based on the study's objective, the number of participants, and other characteristics. There are five phases: Early Phase 1 (formerly listed as Phase 0), Phase 1, Phase 2, Phase 3, and Phase 4. Not Applicable is used to describe trials without FDA-defined phases, including trials of devices or behavioral interventions.",104
Phase 1,"A phase of research to describe clinical trials that focus on the safety of a drug. They are usually conducted with healthy volunteers, and the goal is to determine the drug's most frequent and serious adverse events and, often, how the drug is broken down and excreted by the body. These trials usually involve a small number of participants.",71
Phase 2,"A phase of research to describe clinical trials that gather preliminary data on whether a drug works in people who have a certain condition/disease (that is, the drug's effectiveness). For example, participants receiving the drug may be compared to similar participants receiving a different treatment, usually an inactive substance (called a placebo) or a different drug. Safety continues to be evaluated, and short-term adverse events are studied.",84
Phase 3,A phase of research to describe clinical trials that gather more information about a drug's safety and effectiveness by studying different populations and different dosages and by using the drug in combination with other drugs. These studies typically involve more participants.,48
Phase 4,"A phase of research to describe clinical trials occurring after FDA has approved a drug for marketing. They include postmarket requirement and commitment studies that are required of or agreed to by the study sponsor. These trials gather additional information about a drug's safety, efficacy, or optimal use.",58
Phase Not Applicable,"Describes trials without FDA-defined phases, including trials of devices or behavioral interventions.",20
Placebo,"An inactive substance or treatment that looks the same as, and is given in the same way as, an active drug or intervention/treatment being studied.",32
Placebo comparator arm,An arm type in which a group of participants receives a placebo during a clinical trial.,21
Primary completion date,"The date on which the last participant in a clinical study was examined or received an intervention to collect final data for the primary outcome measure. Whether the clinical study ended according to the protocol or was terminated does not affect this date. For clinical studies with more than one primary outcome measure with different completion dates, this term refers to the date on which data collection is completed for all the primary outcome measures. The ""estimated"" primary completion date is the date that the researchers think will be the primary completion date for the study.",106
Primary outcome measure,"In a clinical study's protocol, the planned outcome measure that is the most important for evaluating the effect of an intervention/treatment. Most clinical studies have one primary outcome measure, but some have more than one.",45
Primary purpose,"The main reason for the clinical trial. The types of primary purpose are: treatment, prevention, diagnostic, supportive care, screening, health services research, basic science, and other.",38
Principal investigator (PI),The person who is responsible for the scientific and technical direction of the entire clinical study.,22
Protocol,"The written description of a clinical study. It includes the study's objectives, design, and methods. It may also include relevant scientific background and statistical information.",32
